"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
VIC,3854,870,"25,675","33,510",858,"44,178","62,037",879,"43,398","59,725",866,"46,607","63,211",866,"46,074","64,667",
VIC,3856,476,"26,384","34,850",551,"40,973","57,023",569,"43,121","58,817",576,"43,455","56,542",575,"42,387","57,808",
VIC,3857,213,"21,437","30,074",220,"31,897","41,178",224,"37,806","44,026",221,"38,601","47,516",230,"40,608","46,192",
VIC,3858,"1,704","23,696","26,589","1,635","35,713","43,822","1,611","37,449","46,582","1,627","37,251","45,456","1,616","37,957","45,349",
VIC,3859,385,"20,801","23,477",438,"35,813","45,642",450,"34,766","45,136",455,"31,585","41,982",462,"34,481","41,757",
VIC,3860,"3,952","23,559","27,682","3,964","36,546","46,866","3,993","37,950","48,685","4,048","37,776","48,042","4,023","38,099","48,347",
VIC,3862,"1,731","23,281","27,034","1,721","36,026","45,851","1,739","37,900","49,499","1,779","37,919","47,962","1,811","38,969","48,168",
VIC,3865,293,"23,824","25,130",295,"38,071","41,132",287,"39,251","44,656",298,"37,737","42,158",306,"39,059","42,375",
VIC,3869,"1,229","28,131","34,044","1,019","40,634","55,315","1,038","40,735","56,071","1,043","41,350","58,231","1,053","42,797","57,032",
VIC,3870,702,"22,737","28,752",684,"36,624","45,791",672,"35,224","45,449",698,"35,457","46,340",698,"34,939","45,997",
VIC,3871,"1,620","21,473","27,559","1,537","34,023","44,397","1,538","35,523","45,534","1,581","34,829","44,876","1,599","36,013","47,149",
VIC,3873,233,"26,555","29,560",214,"32,747","45,310",203,"35,679","47,089",na,na,na,200,"39,494","47,023",
VIC,3874,301,"20,428","25,889",323,"31,930","115,980",344,"33,065","95,100",343,"36,818","138,029",333,"34,169","46,314",
VIC,3875,"9,032","24,280","27,766","9,710","35,905","42,528","9,826","36,868","43,989","9,991","37,276","44,338","10,177","37,781","44,425",
VIC,3878,383,"22,995","31,031",536,"32,702","44,846",586,"35,707","45,564",590,"33,166","44,215",608,"36,256","43,886",
VIC,3880,"1,878","21,966","27,281","1,966","31,227","40,997","1,932","31,362","41,284","1,972","31,253","40,876","2,004","31,947","42,131",
VIC,3882,616,"21,991","25,764",601,"33,498","41,150",584,"34,032","42,489",611,"34,917","42,897",631,"37,778","44,645",
VIC,3885,999,"20,280","23,227","1,040","32,109","37,028","1,018","33,765","40,377","1,030","34,327","38,436","1,043","33,536","37,951",
VIC,3888,"1,903","21,921","26,362","1,688","33,701","42,598","1,679","34,674","42,615","1,657","33,644","42,226","1,675","34,794","46,322",
VIC,3892,622,"19,270","25,505",584,"29,310","38,374",571,"31,322","39,264",579,"30,883","39,718",572,"33,190","43,433",
VIC,3896,244,"20,531","25,610",217,"34,063","42,530",222,"36,292","43,498",228,"37,588","45,443",227,"40,820","49,450",
VIC,3898,430,"20,969","22,603",402,"28,454","35,388",399,"30,259","36,966",405,"30,227","36,481",393,"34,503","39,484",
VIC,3902,255,"22,060","25,180",220,"32,753","41,282",228,"32,886","42,103",227,"35,434","43,184",232,"34,294","41,465",
VIC,3903,377,"21,312","24,832",413,"33,436","44,028",402,"36,197","44,303",412,"35,714","45,992",408,"35,569","47,048",
VIC,3904,670,"21,029","29,092",743,"31,418","42,746",784,"31,944","42,104",840,"32,628","42,669",871,"32,063","42,043",
VIC,3909,"4,052","20,504","24,799","3,892","31,200","40,246","3,886","32,850","41,103","3,974","33,028","41,059","4,013","33,145","41,394",
VIC,3910,"11,621","29,942","33,696","13,192","42,156","48,999","13,507","43,308","50,670","13,766","44,874","52,207","13,895","46,368","53,507",
VIC,3911,"1,919","26,747","30,870","1,919","39,048","49,254","2,019","39,970","49,899","1,990","40,989","53,863","2,020","43,116","57,506",
VIC,3912,"9,001","28,494","33,497","8,958","39,586","48,898","8,985","41,226","49,259","9,155","42,212","50,826","9,234","43,839","53,054",
VIC,3913,"1,839","27,664","32,922","2,036","39,684","50,855","2,103","41,369","52,560","2,178","41,948","54,639","2,216","43,960","56,044",
VIC,3915,"3,382","25,690","30,177","4,372","37,281","44,963","4,522","38,295","45,935","4,670","39,683","47,822","4,887","39,684","47,323",
VIC,3916,609,"29,028","42,044",653,"37,290","65,537",634,"39,135","65,548",629,"42,012","71,428",644,"42,294","75,131",
VIC,3918,"2,098","26,966","32,958","2,190","40,434","48,626","2,243","40,945","49,526","2,272","41,423","50,402","2,282","43,164","52,377",
VIC,3919,"1,511","25,429","30,034","1,589","36,702","42,643","1,621","37,469","43,766","1,709","39,457","45,120","1,781","41,199","46,252",
VIC,3920,798,"22,689","26,021",420,"41,146","44,391",433,"41,812","45,634",433,"45,894","48,557",362,"50,663","53,123",
VIC,3922,"3,258","21,128","26,262","3,879","31,105","40,144","4,006","32,088","41,215","4,113","33,382","41,861","4,461","33,077","42,453",
VIC,3923,330,"19,965","28,707",332,"33,218","47,201",327,"31,641","42,438",347,"34,547","47,358",366,"35,818","48,331",
VIC,3925,"1,556","22,763","26,828","1,844","33,893","41,497","1,879","35,741","44,520","1,996","35,959","44,924","2,039","36,728","45,161",
VIC,3926,"1,891","26,550","32,940","1,985","38,739","56,134","2,071","39,137","56,804","2,066","39,761","60,399","2,161","40,585","62,870",
VIC,3927,978,"28,599","36,354",973,"35,492","50,979",993,"38,645","55,274","1,011","39,078","55,894","1,035","39,450","60,655",
VIC,3928,465,"29,052","48,272",334,"39,554","107,650",339,"39,850","87,169",300,"43,449","108,398",300,"39,957","75,464",
VIC,3929,612,"27,609","47,012",607,"36,834","83,352",616,"39,516","76,229",629,"40,496","92,611",650,"39,294","100,314",
VIC,3930,"11,548","31,195","44,348","10,949","44,169","72,311","11,152","46,869","73,387","11,317","48,362","77,211","11,359","49,936","77,873",
VIC,3931,"12,463","26,773","32,616","13,413","38,805","51,264","13,520","39,802","53,223","13,796","40,084","55,604","14,278","41,127","55,881",
VIC,3933,702,"27,967","39,248",694,"35,867","56,413",708,"39,503","58,506",748,"41,137","60,524",737,"40,921","64,203",
VIC,3934,"8,780","28,871","35,889","10,752","40,362","57,182","10,851","41,893","60,827","11,164","42,833","61,786","11,276","45,181","64,196",
VIC,3936,"4,985","24,075","29,678","5,608","36,207","47,739","6,011","37,426","49,939","6,416","37,684","51,002","6,816","38,292","52,894",
VIC,3937,"1,227","28,187","40,332","1,150","38,290","66,262","1,124","38,947","64,084","1,064","41,526","73,557","1,081","41,151","66,999",
VIC,3938,"1,652","23,914","29,593","1,688","33,621","46,152","1,794","35,967","48,496","1,818","37,497","48,698","1,902","36,819","50,694",
VIC,3939,"6,335","22,690","27,385","7,233","34,407","42,327","7,386","35,562","43,638","7,606","36,377","44,572","7,802","37,296","45,239",
VIC,3940,"1,745","19,643","24,758","1,916","30,896","38,880","2,010","32,672","40,816","2,123","34,628","40,832","2,203","34,678","41,133",
VIC,3941,"6,253","22,018","26,853","6,379","34,057","42,286","6,554","35,081","43,426","6,778","35,482","45,478","6,898","37,000","46,377",
VIC,3942,"1,455","22,984","29,532","1,347","33,216","50,302","1,358","35,542","49,082","1,416","35,770","53,279","1,434","36,557","58,197",
VIC,3943,"1,222","24,329","39,225","1,013","34,842","61,681","1,060","35,406","77,798","1,110","35,924","109,225","1,160","37,427","92,477",
VIC,3944,333,"40,779","111,513",436,"52,430","141,172",437,"56,207","156,669",445,"54,872","167,266",449,"56,137","156,079",
VIC,3945,550,"20,663","23,593",560,"34,567","45,275",582,"34,837","44,130",588,"32,852","42,762",617,"35,972","48,564",
VIC,3950,"2,292","22,868","27,216","2,489","35,468","43,332","2,456","36,528","43,732","2,494","36,278","44,947","2,539","37,088","44,614",
VIC,3951,648,"20,100","24,535",585,"33,970","39,816",581,"35,503","41,798",595,"33,101","42,002",609,"33,972","42,485",
VIC,3953,"4,374","24,641","28,308","4,427","36,366","44,389","4,447","37,242","45,607","4,480","36,786","45,277","4,585","36,866","45,522",
VIC,3954,na,na,na,na,na,na,225,"34,357","52,393",245,"34,240","48,434",246,"33,346","47,518",
VIC,3956,"1,302","21,384","25,823","1,334","31,727","39,384","1,341","32,207","41,832","1,360","31,209","39,431","1,404","32,042","41,339",
VIC,3957,na,na,na,na,na,na,na,na,na,na,na,na,200,"35,679","39,630",
VIC,3959,754,"22,057","24,808",677,"28,608","39,601",692,"29,862","41,136",687,"32,304","39,663",705,"31,014","41,174",
VIC,3960,"1,541","20,353","25,816","1,457","31,672","41,348","1,467","31,775","42,345","1,450","32,471","42,360","1,450","32,164","41,624",
VIC,3962,508,"20,393","24,512",505,"29,175","36,853",499,"28,924","37,061",517,"30,045","42,055",507,"31,417","40,163",
VIC,3966,338,"19,001","27,032",289,"32,253","44,930",304,"32,839","43,754",290,"34,599","42,679",282,"28,973","41,487",
VIC,3971,"2,393","21,453","25,929","2,115","33,999","42,145","2,097","34,950","43,348","2,077","34,033","43,697","2,073","32,945","39,806",
VIC,3975,"2,189","34,223","34,652","7,570","44,707","49,157","7,916","44,655","49,600","8,308","45,708","50,585","8,782","46,127","51,577",
VIC,3976,"11,742","29,238","29,999","13,307","40,477","43,248","12,349","39,998","42,447","12,638","40,413","42,897","12,986","41,275","43,518",
VIC,3977,"24,738","29,073","30,860","43,173","42,282","47,203","46,397","43,237","48,025","50,705","44,029","48,996","54,636","44,784","50,080",
VIC,3978,724,"26,658","49,160","3,108","46,065","50,741","4,449","46,845","51,254","6,021","47,505","52,241","8,718","48,380","52,843",
VIC,3979,263,"21,086","25,336",221,"32,412","36,571",202,"32,831","38,856",na,na,na,220,"35,617","42,271",
VIC,3980,"1,618","27,026","30,242","1,782","42,212","47,579","1,848","43,076","48,625","1,895","44,156","50,900","1,982","44,882","51,416",
VIC,3981,"2,002","23,828","28,272","2,364","37,455","45,171","2,501","38,882","46,951","2,688","42,117","49,690","2,753","43,216","50,744",
VIC,3984,"2,186","22,280","26,248","2,362","33,996","39,985","2,400","35,677","42,903","2,604","35,098","42,285","2,798","35,995","42,870",
VIC,3987,797,"24,650","26,996",825,"34,585","42,915",819,"37,001","44,393",838,"36,310","43,081",860,"41,475","47,275",
VIC,3988,615,"24,141","25,930",651,"31,926","40,054",672,"32,065","45,862",692,"31,192","39,411",641,"33,115","41,002",
VIC,3991,213,"20,523","25,024",206,"27,573","32,313",204,"27,882","33,855",213,"27,743","36,012",219,"28,160","34,322",
VIC,3992,228,"20,946","25,458",383,"31,477","37,240",401,"33,198","38,713",447,"33,752","39,937",511,"33,860","41,896",
VIC,3995,"4,487","22,165","25,579","4,900","32,854","45,661","4,977","33,874","40,375","5,034","34,161","40,679","5,203","34,179","40,823",
VIC,3996,"2,146","22,053","26,784","2,796","33,802","46,120","2,900","34,654","45,777","3,031","34,481","47,311","3,127","35,522","47,293",
WA ,6000,"3,007","29,236","41,675","9,309","54,191","82,628","9,712","53,748","82,784","9,749","49,075","75,671","8,890","46,265","67,146",
WA ,6003,"2,165","27,160","33,993","3,651","42,589","58,913","3,508","43,664","59,822","3,219","45,639","62,303","2,995","45,517","61,495",
WA ,6004,"2,964","29,828","40,575","6,920","52,837","79,340","7,621","49,511","75,050","7,713","47,698","72,241","7,569","48,495","71,400",
WA ,6005,"2,603","31,028","42,721","4,314","59,673","87,075","4,318","53,821","77,407","4,160","52,656","76,353","4,106","52,929","73,960",
WA ,6006,"4,680","32,011","39,964","5,740","55,354","77,317","5,680","56,662","79,369","5,692","55,437","76,666","5,775","54,669","75,084",
WA ,6007,"4,105","34,316","44,227","4,980","60,907","88,149","5,127","57,269","85,368","4,863","60,852","87,822","5,053","59,885","84,712",
WA ,6008,"8,871","36,410","52,397","9,771","62,524","102,146","9,824","61,678","101,644","9,885","59,500","96,103","9,941","58,778","91,425",
WA ,6009,"11,533","34,652","62,279","11,670","58,379","133,958","11,651","57,645","131,917","11,418","57,320","130,585","11,273","55,063","144,599",
WA ,6010,"10,157","35,319","58,904","10,912","58,582","110,909","10,971","57,603","109,963","11,041","56,836","109,929","11,174","56,734","108,739",
WA ,6011,"6,374","38,611","70,474","6,525","67,741","152,792","6,484","69,228","144,273","6,443","69,783","150,230","6,431","68,586","155,264",
WA ,6012,"5,172","30,225","57,843","5,828","55,679","123,871","5,698","55,878","115,752","5,616","55,561","121,898","5,612","55,772","121,769",
WA ,6014,"11,889","31,360","43,288","13,519","54,388","90,505","13,543","55,218","91,247","13,378","54,722","91,009","13,524","53,824","88,291",
WA ,6015,"4,727","37,721","64,118","4,693","66,039","127,102","4,730","63,850","130,228","4,709","63,562","127,170","4,784","61,899","120,958",
WA ,6016,"5,247","31,571","39,254","6,375","53,244","74,136","6,378","54,090","74,407","6,302","54,392","74,913","6,382","53,312","72,756",
WA ,6017,"2,416","28,378","31,432","3,222","47,697","56,287","3,176","48,316","58,350","3,000","48,396","58,367","3,067","46,221","55,994",
WA ,6018,"19,632","30,216","37,416","24,454","54,364","76,010","24,706","54,856","76,069","24,776","54,262","74,799","25,177","52,846","72,387",
WA ,6019,"12,936","30,443","37,752","15,293","55,012","77,364","15,507","55,362","76,005","15,355","55,361","76,317","15,310","54,976","73,678",
WA ,6020,"15,011","29,844","39,782","14,526","52,716","82,523","14,387","52,600","80,017","14,378","51,794","79,581","14,389","50,628","80,368",
WA ,6021,"9,983","27,999","32,089","12,958","50,016","66,005","12,952","49,123","65,033","12,749","48,705","65,233","12,600","47,205","61,944",
WA ,6022,"3,536","28,955","32,241","3,251","47,877","58,286","3,234","48,666","59,743","3,221","47,009","56,707","3,199","46,359","55,403",
WA ,6023,"11,048","29,708","37,821","10,218","51,542","71,288","10,117","51,232","71,113","9,906","50,898","70,479","9,840","49,102","66,600",
WA ,6024,"9,568","28,867","32,079","8,848","47,132","58,130","8,542","47,871","58,915","8,376","47,424","57,846","8,246","45,644","55,651",
WA ,6025,"20,392","29,123","34,897","20,279","50,356","70,626","20,227","50,829","70,028","19,968","49,337","67,957","19,882","48,434","65,663",
WA ,6026,"15,708","28,970","34,584","14,895","49,651","64,079","14,634","50,186","64,785","14,507","49,485","63,467","14,406","47,655","61,905",
WA ,6027,"26,532","27,552","32,678","27,992","48,575","63,467","27,592","48,917","63,079","27,185","48,400","61,900","26,867","46,839","60,112",
WA ,6028,"10,238","29,108","34,165","14,487","51,557","69,631","14,694","51,979","70,326","14,883","51,356","69,206","14,872","49,503","66,684",
WA ,6029,"1,906","33,306","44,583","1,989","55,850","96,638","1,957","58,050","90,048","2,033","55,448","88,477","2,025","54,894","89,705",
WA ,6030,"14,315","25,789","30,193","22,660","46,753","60,495","22,864","46,953","60,921","22,860","46,379","60,416","22,863","45,363","57,823",
WA ,6031,"3,345","29,118","31,647","8,444","50,450","61,228","9,295","50,530","60,544","9,753","50,291","59,591","10,003","49,015","57,594",
WA ,6033,290,"25,416","31,771",347,"47,035","67,866",333,"44,953","60,188",322,"44,930","59,588",341,"39,854","60,632",
WA ,6034,na,na,na,na,na,na,568,"53,927","63,561","1,028","53,388","61,310","1,286","52,452","59,256",
WA ,6035,"1,283","23,214","27,504","3,716","47,410","61,358","4,307","48,616","61,318","4,819","47,968","59,773","5,109","45,645","57,500",
WA ,6036,"1,337","29,826","31,573","7,576","50,693","62,639","8,215","49,923","62,429","8,678","48,500","60,551","8,998","47,230","57,718",
WA ,6037,913,"22,650","28,850","1,423","43,391","59,451","1,507","44,078","60,191","1,589","41,929","58,516","1,701","43,200","57,177",
WA ,6038,na,na,na,na,na,na,"2,732","56,129","65,088","3,839","52,708","60,923","4,349","51,352","59,870",
WA ,6041,563,"20,577","26,897",789,"41,494","60,781",840,"36,672","54,967",806,"34,365","52,646",796,"32,217","49,755",
WA ,6044,631,"22,630","29,636",742,"35,296","56,934",744,"37,720","57,473",740,"37,431","52,803",797,"35,783","55,841",
WA ,6050,"9,140","32,237","45,330","10,403","54,605","93,092","10,367","55,085","91,904","10,258","54,138","90,063","10,145","52,912","84,904",
WA ,6051,"6,287","29,889","34,299","8,719","51,986","66,072","8,486","52,508","66,099","8,392","52,261","65,805","8,129","51,666","64,675",
WA ,6052,"6,089","30,330","35,773","7,252","53,223","69,694","7,284","52,306","68,877","7,135","53,328","69,124","7,139","52,375","67,510",
WA ,6053,"7,279","29,419","33,582","8,968","52,923","66,532","8,937","52,725","66,917","8,937","52,014","65,761","9,122","52,285","64,539",
WA ,6054,"10,760","27,907","30,847","11,935","48,346","58,623","11,865","49,224","59,576","11,652","48,307","58,665","11,556","47,563","57,076",
WA ,6055,"6,627","30,067","34,964","9,714","53,986","67,792","11,130","53,769","67,295","12,787","53,061","64,138","14,143","52,026","62,453",
WA ,6056,"20,192","27,133","30,832","22,951","48,292","59,095","22,959","48,518","59,191","22,617","47,870","58,027","22,450","46,742","56,449",
WA ,6057,"8,584","29,613","32,466","10,440","51,854","62,342","10,383","51,980","62,227","10,181","51,781","61,573","10,081","49,990","59,691",
WA ,6058,"7,284","28,649","31,248","7,710","49,872","58,269","7,656","50,152","58,132","7,490","49,073","56,885","7,391","47,840","55,131",
WA ,6059,"11,419","27,990","33,827","14,660","46,402","63,591","14,672","47,089","64,012","14,471","45,672","62,700","14,335","44,017","61,756",
WA ,6060,"11,946","29,750","32,754","15,225","50,891","63,390","15,173","51,118","63,843","15,078","50,817","62,972","14,951","49,624","60,409",
WA ,6061,"13,381","23,640","25,894","19,928","43,303","49,627","20,249","43,592","49,534","20,640","43,052","48,537","20,898","41,082","46,335",
WA ,6062,"20,226","27,205","31,395","20,779","44,896","54,881","20,632","44,647","54,461","20,125","43,718","53,254","19,945","42,710","51,561",
WA ,6063,"6,997","27,707","28,968","8,389","45,237","52,381","8,326","45,065","51,967","8,088","44,355","51,090","7,888","42,977","49,302",
WA ,6064,"16,157","25,421","27,323","16,919","42,366","49,197","16,673","42,639","49,273","16,245","41,875","48,282","15,854","40,654","46,915",
WA ,6065,"17,494","28,454","32,110","36,500","50,130","61,800","37,092","50,682","62,109","37,681","49,853","60,822","38,274","48,572","58,915",
